Post ID,Confirmed DesignTag1,Confirmed DesignTag2,Confirmed DesignTag3,App Technology,App Domain,App Size,Platform Context,Organizational Context,Technical Context,Quality attributes,Other 1,Other 2,Other 3
12661110,REST,,,Web Application,NONE,NONE,NONE,NONE,Development methodology,security,NONE,NONE,NONE
39340609,MVC,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
34139090,REST,,,NONE,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
21132728,REST,,,Mobile Application,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
8864240,client server,,,Web Application,NONE,NONE,Operating Systems,NONE,NONE,security,NONE,NONE,NONE
49216909,ACTIVERECORD,,,NONE,NONE,NONE,Databases,NONE,Development methodology,security,NONE,NONE,NONE
12060965,MVC,,,Web Application,Financial Systems,NONE,Databases,NONE,NONE,NONE,NONE,NONE,NONE
49612067,activerecord,,,NONE,NONE,NONE,Databases,NONE,Testing standards/ Methods,modifiability,security,interoperability,NONE
11695109,MVC,,,Web Application,NONE,NONE,Databases,NONE,NONE,availability,NONE,NONE,NONE
3663900,SINGLETON,,,NONE,NONE,NONE,Databases,NONE,Development methodology,security,NONE,NONE,NONE
27314907,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
28628822,activerecord,,,Web Application,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
27752928,REST,,,NONE,NONE,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
17642224,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
53497899,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
4395963,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
13772177,ddd,,,NONE,Financial Systems,Small,NONE,NONE,NONE,modifiability,NONE,NONE,NONE
33453269,REST,,,NONE,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
34218135,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
57240164,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
8703263,REST,,,NONE,NONE,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
3177088,MVC,SINGLETON,,NONE,NONE,NONE,NONE,NONE,NONE,modifiability,NONE,NONE,NONE
18351134,REST,,,Web Application,NONE,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
6068932,MVC,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
24438769,REST,,,Embedded Systems,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
47856019,publish-subscribe,,,NONE,Transport Systems,NONE,Network context,NONE,Quality standards,performance,scalability,NONE,NONE
6387933,soa,ddd,,Web Application,HR System,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
11821453,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
6133254,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
43834191,REST,,,Web Application,Entertainment Systems,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
20644672,activerecord,,,NONE,NONE,Small,Databases,NONE,NONE,availability,NONE,NONE,NONE
7856827,MVC,,,NONE,NONE,NONE,Databases,NONE,Quality standards,performance,NONE,NONE,NONE
13821028,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
10388235,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,performance,safety,NONE,NONE
34700593,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
21141746,client server,,,Web Application,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
10221273,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
23456736,REST,,,Web Application,Financial Systems,NONE,NONE,NONE,NONE,security,Mobile Application,NONE,NONE
19624859,activerecord,,,NONE,NONE,NONE,Databases,NONE,Development methodology,modifiability,NONE,NONE,NONE
34303982,REST,,,Mobile Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
16734363,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
5361918,p2p,,,NONE,NONE,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
3852080,REST,,,Mobile Application,NONE,NONE,NONE,NONE,NONE,security,Web Application,NONE,NONE
34640611,microservices,,,Distributed Systems,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
43956037,soa,REST,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
14710068,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
35118390,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
47414830,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,NONE,NONE,NONE,NONE
27551109,mvvm,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
54244210,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
24544707,ACTIVERECORD,,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,security,NONE,NONE
8602387,DTO,MULTI-TIER,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
18434314,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
6903515,MVC,,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
28879185,MVC,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
28497835,MVC,,,Web Application,Entertainment Systems,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
33434489,SINGLETON,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
36431145,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
4981045,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
11943933,activerecord,,,NONE,NONE,NONE,Databases,NONE,Development methodology,security,NONE,NONE,NONE
25152900,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
7988447,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
1790020,client server,,,Web Application,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
4429684,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
11908163,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
40854777,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
25624368,REST,MVC,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
34272521,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
34827797,REST,MVC,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
5083585,p2p,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
2921553,soa,,,Web Application,NONE,NONE,NONE,NONE,NONE,scalability,security,NONE,NONE
48131440,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
11170843,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
34993058,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
48063078,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
1978035,soa,,,Web Application,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
33894403,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
24931742,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
56397947,REST,,,Web Application,NONE,NONE,Databases,NONE,quality standards,security,NONE,NONE,NONE
50431706,MVC,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
42491958,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
17065304,dao,,,NONE,NONE,NONE,Databases,NONE,Development methodology,modifiability,NONE,NONE,NONE
20547669,MVC,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
32295827,DTO,,,Web Application,NONE,NONE,NONE,NONE,NONE,performance,NONE,NONE,NONE
7065403,facade,,,NONE,NONE,NONE,Databases,NONE,Development methodology,security,NONE,NONE,NONE
9277074,SINGLETON,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
20360505,REST,,,Mobile Application,NONE,Small,NONE,NONE,NONE,security,Web Application,NONE,NONE
43539614,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,Mobile Application,NONE,NONE
45158563,p2p,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
36913718,strategy-pattern,abstract factory,,NONE,NONE,NONE,NONE,NONE,NONE,modifiability,interoperability,NONE,NONE
19439843,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,performance,NONE,NONE,NONE
28536522,INTERCEPTOR,,,NONE,NONE,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
14055260,MVC,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
34428046,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
1940654,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
41161769,microservices,,,NONE,NONE,NONE,Databases,NONE,NONE,security,performance,NONE,NONE
40660163,ddd,microservices,,Distributed Systems,NONE,NONE,NONE,NONE,NONE,functionality,modifiability,NONE,NONE
45525753,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
8476450,ddd,,,NONE,Health Related Systems,NONE,NONE,NONE,Development methodology,NONE,NONE,NONE,NONE
39161175,REST,,,NONE,NONE,NONE,Network context,NONE,NONE,performance,NONE,NONE,NONE
40674685,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
42559380,dao,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
38618531,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
45394540,SINGLETON,,,Mobile Application,NONE,NONE,NONE,NONE,NONE,modifiability,NONE,NONE,NONE
45092661,REST,,,NONE,Transport Systems,NONE,Databases,NONE,NONE,performance,scalability,NONE,NONE
19773753,DTO,,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
10080028,soa,,,NONE,NONE,NONE,Network context,NONE,NONE,performance,NONE,NONE,NONE
25611167,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
47252277,REST,,,Mobile Application,NONE,NONE,databases,NONE,NONE,security,NONE,NONE,NONE
53710288,REST,,,Web Application,NONE,Large,Databases,NONE,NONE,performance,security,NONE,NONE
41693536,REST,,,NONE,NONE,NONE,Databases,NONE,quality standards,security,NONE,NONE,NONE
37640080,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
34461967,soa,,,NONE,NONE,Large,Databases,NONE,NONE,maintainability,NONE,NONE,NONE
47493648,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,scalability,NONE,NONE
13038646,MVC,,,Web Application,NONE,NONE,Operating Systems,NONE,NONE,security,NONE,NONE,NONE
45146319,microservices,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
29970527,REST,,,NONE,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
13262631,mvvm,,,NONE,NONE,NONE,Hardware context,NONE,NONE,modifiability,NONE,NONE,NONE
1752632,MVC,,,NONE,NONE,NONE,NONE,NONE,Testing standards/ Methods,security,NONE,NONE,NONE
6822255,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
54646337,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
29957080,REST,MVP,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
11553201,REST,,,NONE,NONE,NONE,Network context,NONE,NONE,performance,NONE,NONE,NONE
6433480,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
51618042,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,Mobile Application,NONE,NONE
34355595,REST,MVC,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
51582565,REST,,,Mobile Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
7655312,activerecord,,,NONE,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
33006570,REST,,,Web Application,Entertainment Systems,NONE,NONE,NONE,Testing standards/ Methods,NONE,NONE,NONE,NONE
31670099,ACTIVERECORD,,,NONE,NONE,NONE,Databases,NONE,Quality standards,modifiability,NONE,NONE,NONE
52924247,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
13989320,SINGLETON,,,Web Application,NONE,NONE,Databases,NONE,Development methodology,performance,NONE,NONE,NONE
23724358,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
24220884,REST,,,Web Application,NONE,NONE,databases,NONE,quality standards,security,NONE,NONE,NONE
37639209,REST,CLIENT SERVER,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
1033779,ddd,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
33728813,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
2010621,MVC,,,Web Application,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
37702372,REST,,,NONE,NONE,NONE,Network context,NONE,NONE,scalability,performance,NONE,NONE
8702135,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
16496471,p2p,,,NONE,NONE,NONE,Network context,NONE,NONE,performance,NONE,NONE,NONE
11216484,REST,,,NONE,NONE,NONE,Databases,NONE,quality standards,performance,scalability,NONE,NONE
32915964,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
6088494,ITERATOR,,,NONE,NONE,NONE,NONE,NONE,Development methodology,modifiability,quality standards,NONE,NONE
6197691,REST,,,Mobile Application,NONE,NONE,Databases,NONE,NONE,performance,Web Application,NONE,NONE
1224450,strategy-pattern,,,NONE,NONE,NONE,Databases,NONE,Development methodology,modifiability,NONE,NONE,NONE
34133533,REST,,,Web Application,NONE,NONE,Network context,NONE,NONE,performance,NONE,NONE,NONE
1237241,MVC,,,Web Application,NONE,NONE,Databases,Stakeholder context,NONE,security,NONE,NONE,NONE
5826210,activerecord,,,NONE,NONE,NONE,Databases,NONE,quality standards,performance,NONE,NONE,NONE
17286333,REST,MVC,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
7261490,MVC,,,Web Application,NONE,NONE,NONE,NONE,NONE,modifiability,security,NONE,NONE
32876844,REST,,,Mobile Application,prototype,NONE,Databases,NONE,NONE,NONE,NONE,NONE,NONE
17446822,client server,,,Web Application,prototype,Large,Network context,NONE,NONE,performance,NONE,NONE,NONE
9333963,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
8459296,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
15390727,mvvm,,,NONE,NONE,NONE,Databases,NONE,Development methodology,security,quality standards,NONE,NONE
31931895,ACTIVERECORD,,,NONE,NONE,NONE,Databases,NONE,NONE,security,safety,NONE,NONE
55601089,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
6821238,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
46546626,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
4088586,SINGLETON,,,Web Application,NONE,NONE,NONE,NONE,Testing standards/ Methods,maintainability,NONE,NONE,NONE
24329007,publish-subscribe,,,NONE,NONE,NONE,Hardware context,NONE,NONE,performance,NONE,NONE,NONE
26197021,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
31462929,ACTIVERECORD,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,modifiability,NONE,NONE
7951313,REST,,,Mobile Application,NONE,NONE,NONE,NONE,NONE,security,Web Application,NONE,NONE
41030778,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
45607999,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
23931093,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,NONE,NONE,NONE,NONE
41484495,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
45661556,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
18015999,MVC,observer pattern,,Web Application,NONE,Small,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
53376129,REST,,,NONE,NONE,NONE,Hardware context,NONE,NONE,security,NONE,NONE,NONE
35289988,microservices,,,NONE,NONE,NONE,Databases,NONE,Development methodology,security,quality standards,NONE,NONE
44360649,ddd,microservices,REST,NONE,Financial Systems,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
31742485,MVC,,,Web Application,NONE,NONE,Databases,NONE,Quality standards,performance,maintainability,NONE,NONE
35310342,REST,,,Web Application,NONE,NONE,Network context,NONE,NONE,security,performance,NONE,NONE
29924248,microservices,,,Web Application,NONE,NONE,Network context,Financial Factors,NONE,performance,NONE,NONE,NONE
25763428,p2p,,,NONE,NONE,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
44622904,no,,,NONE,NONE,NONE,Databases,NONE,NONE,NONE,,,
2095169,REST,,,NONE,NONE,NONE,NONE,Stakeholder context,Development methodology,security,NONE,NONE,NONE
12265608,REST,,,Web Application,ERP Systems,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
38885288,decorator,,,NONE,Entertainment Systems,NONE,NONE,NONE,NONE,modifiability,NONE,NONE,NONE
35488360,REST,,,NONE,NONE,NONE,Databases,NONE,quality standards,performance,NONE,NONE,NONE
38627553,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
7610591,SINGLETON,,,Information Systems,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
16426112,ddd,lazy-loading,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
22666009,REST,,,NONE,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
33324522,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
13216304,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,performance,NONE,NONE,NONE
37822004,REST,,,Mobile Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
26777083,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
36244768,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
7664324,INVERSION-OF-CONTROL,MVC,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
29117113,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
44862419,MVC,,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
24376539,multi-tier,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
1176457,p2p,,,NONE,NONE,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
1519855,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
10972803,REST,,,Mobile Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
56162407,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
16747087,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
57490612,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
3262909,P2P,,,Web Application,Entertainment Systems,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
45462271,REST,,,Web Application,NONE,NONE,Network context,NONE,NONE,NONE,NONE,NONE,NONE
27123182,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
57310575,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
8804700,identity-map,SINGLETON,,Web Application,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
47960925,mvvm,,,Web Application,NONE,NONE,NONE,NONE,NONE,usability,NONE,NONE,NONE
8791902,multi-tier,,,Web Application,NONE,NONE,Hardware context,NONE,NONE,performance,security,NONE,NONE
48575449,ddd,REST,FACTORY METHOD,Web Application,NONE,NONE,NONE,NONE,NONE,performance,NONE,NONE,NONE
5628666,client server,,,Mobile Application,NONE,NONE,Network context,NONE,NONE,performance,Databases,NONE,NONE
13735842,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
56299298,microservices,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
27991528,REST,,,Mobile Application,NONE,NONE,NONE,NONE,NONE,security,Web Application,NONE,NONE
32791347,REST,,,Mobile Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
4076443,SINGLETON,,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,NONE,NONE,NONE
39794381,activerecord,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
1949137,REST,,,Web Application,Financial Systems,NONE,Databases,NONE,NONE,scalability,performance,NONE,NONE
770978,client server,,,Web Application,Entertainment Systems,NONE,Network context,NONE,NONE,performance,NONE,NONE,NONE
15922531,REST,MVC,,Web Application,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
34641681,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
1551648,SINGLETON,connection pooling,,Web Application,NONE,NONE,Databases,NONE,NONE,maintainability,performance,security,NONE
7171023,reposItory pattern,ddd,,Web Application,NONE,NONE,Databases,NONE,NONE,performance,modifiability,NONE,NONE
9719389,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
44665324,REST,,,mobile Application,NONE,NONE,Network context,NONE,NONE,performance,NONE,NONE,NONE
42540694,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
44687892,microservices,,,NONE,NONE,NONE,Databases,NONE,Quality standards,security,performance,NONE,NONE
52366559,microservices,,,Web Application,NONE,NONE,Hardware context,NONE,Development methodology,modifiability,Databases,NONE,NONE
34297994,ddd,,,NONE,Financial Systems,NONE,Databases,Stakeholder context,NONE,NONE,NONE,NONE,NONE
9828521,MVC,,,NONE,NONE,NONE,Databases,NONE,Quality standards,performance,NONE,NONE,NONE
43378986,microservices,,,Mobile Application,NONE,NONE,NONE,NONE,Quality standards,security,Web Application,NONE,NONE
2899924,p2p,,,Web Application,NONE,NONE,Network context,NONE,NONE,performance,Distributed Systems,NONE,NONE
7410040,REST,,,Web Application,NONE,NONE,NONE,NONE,Development methodology,security,NONE,NONE,NONE
43567732,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,availability,performance,NONE,NONE
4684075,REST,,,Web Application,NONE,NONE,NONE,NONE,Development methodology,availability,NONE,NONE,NONE
10646427,REST,,,Web Application,NONE,NONE,NONE,NONE,Development methodology,security,mobile Application,NONE,NONE
21489239,MVC,,,NONE,NONE,NONE,Databases,NONE,Development methodology,performance,NONE,NONE,NONE
47757453,MVC,,,Web Application,NONE,Small,NONE,NONE,NONE,security,NONE,NONE,NONE
52808505,REST,,,Web Application,NONE,NONE,Network context,NONE,Development methodology,NONE,NONE,NONE,NONE
31177257,publish-subscribe,,,Mobile Application,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
38397672,microservices,,,NONE,Entertainment Systems,NONE,Databases,NONE,Development methodology,performance,NONE,NONE,NONE
9170066,MVC,,,NONE,NONE,NONE,NONE,NONE,Quality standards,NONE,NONE,NONE,NONE
4973454,REST,,,NONE,NONE,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
53203091,REST,,,Distributed Systems,NONE,NONE,NONE,NONE,Quality standards,security,NONE,NONE,NONE
