,Id,data_nocode,ContextTag,data_phraseList
21,10105093,"['personal', 'university', 'research', 'reasons', 'thinking', 'building', 'simple', 'crm', 'service', 'oriented', 'architecture', 'meaning', 'explain', 'architecture', 'commercial', 'use', 'thinking', 'implementing', 'crm', 'offers', 'simple', 'analytics', 'service', 'customer', 'care', 'user', 'storing', 'personal', 'comments', 'things', 'architecture', 'designing', 'defines', 'webgui', 'client', 'services', 'analyticsservice', 'service', 'receives', 'data', 'analyzes', 'collect', 'customercareservice', 'service', 'uses', 'restful', 'apis', 'apply', 'crud', 'operations', 'service', 'database', 'completely', 'independent', 'expose', 'public', 'interface', 'interface', 'course', 'provide', 'sort', 'authentication', 'deny', 'unautorized', 'requests', 'advantages', 'id', 'explain', 'kind', 'architecture', 'possibility', 'things', 'indepentent', 'ability', 'combine', 'offer', 'new', 'services', 'example', 'orderservice', 'handle', 'orders', 'easy', 'combine', 'customer', 'public', 'apis', 'big', 'advantage', 'itd', 'easy', 'build', 'clients', 'use', 'services', 'dont', 'good', 'authentication', 'method', 'easy', 'implement', 'sure', 'apis', 'use', 'xml', 'plain', 'rest', 'apis', 'getpost', 'data', 'worked', 'amazon', 'paypal', 'company', 'apis', 'use', 'rest', 'services', 'paypal', 'uses', 'ugly', 'cmd', 'parameter', 'amazon', 'uses', 'better', 'uri', 'reading', 'soas', 'appears', 'people', 'use', 'xml', 'course', 'account', 'web', 'interface', 'able', 'recognize', 'logged', 'user', 'permissions', 'token', 'use', 'services', 'information', 'sure', 'soa', 'kind', 'architecture', 'building', 'saas', 'instead', 'soa', 'think', 'better', 'use', 'restful', 'applications', 'json', 'implement', 'big', 'fan', 'xml', 'find', 'verbose', 'clarity', 'listing', 'questions', 'kind', 'architecture', 'called', 'soa', 'saas', 'good', 'implementation', 'obtain', 'explain', 'detailed', 'sort', 'authentication', 'suitable', 'client', 'user', 'token', 'vs', 'oauth', 'similiar', 'suggestion', 'kind', 'project', '3', 'months', 'real', 'complex', 'fact', 'realistic', 'single', 'programmer', 'python', 'wsgi', 'frameworks', 'ruby', 'rails', 'cc', 'languages', 'net', 'excluded', 'id', 'develop', 'linux', 'environment', 'mysql', 'postgres', 'nosql', 'suggestion', 'right', 'choice', 'combine', 'languages', 'services', 'independent', 'programs', 'id', 'good', 'point', 'view', 'good', 'suggestion', 'thanks']",yes,"['service independent program', 'simple analytics service', 'rest service', 'service ha', 'architecture suggestion', 'good authentication method', 'good suggestion', 'customer care user', 'good point', 'good implementation']"
22,33883088,"['new', 'castle', 'windsor', 'actually', 'di', 'solve', 'scenario', 'windsor', 'kind', 'stuck', 'idea', '2', 'different', 'remote', 'sources', 'order', 'info', 'given', 'customer', 'attempt', 'bit', 'time', 'consuming', 'order', 'info', 'change', 'future', 'store', 'data', 'local', 'database', 'subsequent', 'uses', 'increase', 'performance', 'application', 'decorator', 'pattern', 'good', 'candidate', 'initial', 'attempt', 'hope', 'code', 'snippet', 'gives', 'idea', 'struggle', 'register', 'windsor', 'collection', 'subresolver', 'able', 'register', 'ienumerable', 'realtime', 'repos', '1', 'amp', '2', 'register', 'local', 'repo', 'ie', 'constructor', 'parameter', '2', 'appreciate', 'help', 'open', 'suggestions', 'understanding', 'decorator', 'pattern', 'castle', 'windsor']",yes,"['order info', 'decorator pattern', 'local repo', 'local database', 'initial attempt', 'windsor', 'constructor parameter', 'realtime repos', 'good candidate', 'code snippet']"
26,14360122,"['suppose', 'network', 'n', 'nodes', 'unique', 'identity', 'eg', 'public', 'key', 'communicating', 'centralserverless', 'protocol', 'eg', 'dht', 'kad', 'node', 'stores', 'variable', 'v', 'reference', 'evoting', 'easy', 'example', 'variable', 'candidate', 'execute', 'aggregation', 'function', 'v', 'variables', 'available', 'network', 'reference', 'evoting', 'example', 'count', 'votes', 'completely', 'theoretical', 'prove', 'statement', 'details', 'end', 'dont', 'focus', 'evoting', 'security', 'aspects', 'dont', 'answer', 'node', 'number', 'identities', 'generating', 'keys', 'ips', 'traced', 'etc', 'thats', 'matter', 'lets', 'distributed', 'aggregation', 'privacy', 'point', 'view', 'general', 'case', 'node', 'compute', 'function', 'variables', 'stored', 'nodes', 'getting', 'value', 'associated', 'nodes', 'identity', 'researchers', 'design', 'privacyaware', 'distributed', 'algorithm', 'dealing', 'privacy', 'aspects', 'general', 'security', 'current', 'thoughts', 'current', 'answer', 'central', 'server', 'obtaining', 'vs', 'processes', 'storing', 'necessary', 'legal', 'technical', 'means', 'assure', 'individual', 'nodes', 'data', 'stored', 'retransmitted', 'central', 'server', 'asking', 'prove', 'previous', 'statement', 'false', 'evoting', 'example', 'think', 'impossible', 'count', 'people', 'voted', 'alice', 'bob', 'asking', 'nodes', 'hey', 'vote', 'real', 'case', 'research', 'personal', 'data', 'store', 'field', 'suppose', 'store', 'log', 'pds', 'somebody', 'wants', 'find', 'statistical', 'values', 'phone', 'calls', 'ie', 'mean', 'duration', 'number', 'calls', 'day', 'variance', 'stdev', 'revealed', 'aggregated', 'punctual', 'data', 'individual', 'mean', 'duration', 'trusted', 'broker', 'exists', 'everybody', 'trusts', 'node', 'expose', 'double', 'getmeancallduration', 'api', 'invokes', 'callrecord', 'getcalls', 'pds', 'network', 'operates', 'statistics', 'rows', 'central', 'trusted', 'broker', 'pds', 'exposing', 'double', 'getmymeancallduration', 'isnt', 'statistically', 'usable', 'mean', 'means', 'shouldnt', 'mean', 'importantly', 'reveals', 'identity', 'single', 'user']",yes,"['privacy aware data mining aggregation algorithm', 'individual node', 'central trusted broker', 'general security current thought', 'central server', 'number identity', 'day variance st dev', 'trusted broker exists', 'unique identity', 'privacy aspect']"
30,33348620,"['rails', 'rspec', 'test', 'cases', 'database', 'cleaned', 'test', 'run', 'affect', 'performance', 'tests', 'slower']",yes,"['test case', 'performance', 'database', 'rail']"
34,21132728,"['building', 'application', 'requires', 'lot', 'data', 'constantly', 'extracted', 'local', 'mongodb', 'neo4j', 'seeing', 'users', 'access', 'neo4j', 'database', 'django', 'webserver', 'places', 'decided', 'rest', 'interface', 'neo4j', 'problem', 'batch', 'insertion', 'neo4j', 'server', 'active', '50', 'time', 'insert', 'data', 'mongodb', 'far', 'waiting', 'time', 'http', 'requests', 'tweak', 'gotten', 'far', 'write', 'java', 'plugin', 'url', 'handle', 'inserting', 'mongodb', 'extractions', 'directly', 'rest', 'api', 'java', 'plugin', 'commands', 'convert', 'regular', 'rest', 'api', 'requests', 'furthermore', 'performance', 'boost', 'plugin', 'optimize', 'speed', 'rest', 'api', 'far', 'performing', '1500', 'readwrite', 'operations', 'includes', 'create', 'index', 'operations', 'sweet', 'spot', 'number', 'queries', 'appended', 'http', 'requests', 'neo4j', 'busy', 'http', 'request', 'arrives', 'update', 'neo4j', 'version', '20', 'data', 'extracting', 'consists', 'bluetooth', 'observations', 'phone', 'running', 'app', 'created', 'scans', 'nearby', 'phones', 'single', 'observation', 'saved', 'document', 'mongodb', 'consists', 'users', 'id', 'time', 'scan', 'list', 'phonesusers', 'scan', 'neo4j', 'model', 'users', 'nodes', 'model', 'observation', 'users', 'node', 'look', 'user1observedobservation', 'nodeobserveduser2', 'furthermore', 'index', 'user', 'nodes', 'moving', 'observation', 'mongodb', 'neo4j', 'document', 'check', 'index', 'user', 'scan', 'node', 'assigned', 'create', 'observed', 'user', 'scan', 'check', 'index', 'observed', 'user', 'node', 'create', 'b', 'create', 'observation', 'node', 'relationships', 'users', 'observation', 'node', 'doesnt', 'exist', 'c', 'relationship', 'observation', 'node', 'timeline', 'node', 'timeline', 'consists', 'tree', 'nodes', 'quickly', 'find', 'observations', 'certain', 'time', 'lookups', 'user', 'index', '3', 'normal', 'read', '23', 'potentially', 'writes', 'observation', 'bluetooth', 'scan', 'average', '530', 'observations', 'batch', '100', 'scans', 'single', 'http', 'request', 'means', 'request', 'usually', 'contains', '500010000', 'updates']",yes,"['java plugin http doc', 'single http request', 'single observation', 'http request']"
35,8864240,"['create', 'webapp', 'allow', 'editing', 'set', 'data', 'data', 'contained', 'access', 'database', 'file', 'application', 'desktop', 'application', 'evaluating', 'best', 'way', 'carry', 'job', 'unfortunatly', 'purpose', 'migrate', 'database', 'solution', 'rdbms', 'mysql', 'postgres', 'rejected', 'customer', 'issue', 'data', 'integrity', 'syncronized', 'server', 'desktop', 'executes', 'application', 'uses', 'data', 'read', 'data', 'store', 'edited', 'new', 'data', 'authorized', 'users', 'interface', 'review', 'new', 'inserted', 'data', 'validating', 'import', 'original', 'access', 'database', 'found', 'solutions', 'update', 'desktop', 'mdb', 'copy', 'pros', 'cons', 'remote', 'access', 'windows', 'machine', 'exposes', 'machine', 'unauthorized', 'access', 'use', 'rsync', 'files', 'syncronized', 'day', 'mdb', 'client', 'edited', 'desktop', 'application', 'data', 'loss', 'update', 'data', 'validated', 'wont', 'real', 'syncronized', 'data', 'rsync', 'run', 'clientserver', 'applications', 'use', 'secure', 'layers', 'protect', 'data', 'attackers', '3rd', 'application', 'desktop', 'required', 'syncronization', 'requires', 'authorized', 'users', 'use', '3rd', 'application', 'import', 'data', 'query', 'remote', 'db', 'update', 'local', 'mdb', 'way', 'help', 'oriented', 'clientserver', 'model', 'expensive', 'way', 'work', 'proscons', 'purposed', 'solution', 'didnt', 'choose', 'pl', 'develop', 'thinking', 'use', 'php', 'andor', 'python', 'remote', 'environment', 'server', 'windows', 'nix', 'preferred', 'thanks']",yes,"['client server application', 'data ha', 'desktop application', 'access database file']"
36,49216909,"['activeadmin', 'admin', 'panel', 'create', 'users', 'activeadmin', 'issue', 'updating', 'inserting', 'users', 'password', 'value', 'entered', 'activeadmin', 'form', 'hash', 'password', 'bcrypt', 'work', 'rails', 'secure', 'password', 'authentication', 'activeadmin', 'include', 'bcryptpasswordcreateparamspassword', 'saving', 'database', 'usersrb', 'end', 'advice', 'greatly', 'appreciated', 'thanks']",yes,"['bcrypt user', 'rail ha secure', 'insert rail', 'admin panel']"
37,12060965,"['adhere', 'strict', 'interpretation', 'mvc', 'rebuilding', 'personal', 'web', 'application', 'home', 'issues', 'application', 'financial', 'tracking', 'application', 'stuck', 'page', 'list', 'bank', 'account', 'transactions', 'month', 'transaction', 'list', 'model', 'controller', 'view', 'easy', 'envision', 'point', 'buttons', 'page', 'arrows', 'corresponding', 'previous', 'month', 'corresponding', 'months', 'transaction', 'list', 'dont', 'buttons', 'enabled', 'transactions', 'previousnext', 'month', 'talk', 'database', 'figure', 'button', 'actually', 'link', 'read', 'largest', 'extent', 'database', 'access', 'encapsulated', 'models', 'little', 'database', 'access', 'controllers', 'views', 'buttons', 'essentially', 'ask', 'database', 'transactions', 'nextprevious', 'months', 'answer', 'determine', 'links', 'disabled', 'send', 'user', 'strictly', 'speaking', 'putting', 'logic', 'transaction', 'list', 'model', 'appropriate', 'transactions', 'exist', 'outside', 'requested', 'range', 'concern', 'transaction', 'list', 'model', 'guess', 'model', 'correspond', 'yearmonth', 'combinations', 'transactions', 'exist', 'pass', 'model', 'transaction', 'list', 'proper', 'view', 'deviate', 'nodatabaseaccessoutsidethemodel', 'paradigm', 'throw', 'quick', 'db', 'querying', 'view', 'result', 'essentially', 'ui', 'concern', 'making', 'navigation', 'easier', 'guys', 'think', 'conceptual', 'issue', 'btw', 'framework', 'pet', 'project', 'designed', 'familiar', 'nuts', 'bolts', 'mvc', 'pattern']",yes,"['transaction list model doe', 'transaction list model', 'transaction list', 'bank account transaction']"
38,49612067,"['application', 'calculations', 'uses', 'yii2', 'activerecord', 'read', 'write', 'database', 'places', 'rerun', 'calculation', 'testing', 'integrity', 'check', 'purposes', 'touching', 'database', 'standard', 'way', 'activerecord', 'work', 'data', 'structure', 'memory', 'data', 'structure', 'consist', 'arrays', 'objects', 'data', 'models', 'long', 'shot', 'intention', 'avoid', 'plan', 'b', 'locate', 'places', 'interact', 'database', 'refactor', 'operate', 'dual', 'mode', 'memory', 'structure', 'database', 'example', 'way', 'save', 'add', 'new', 'customer', 'memory', 'data', 'structure', 'instead', 'database']",yes,"['memory data structure', 'data structure', 'memory structure', 'database']"
39,11695109,"['theoretical', 'approach', 'current', 'project', 'fairly', 'simple', 'matching', 'quiz', 'js', 'php', 'simply', 'taking', 'care', 'business', 'logic', 'server', 'answer', 'checking', 'score', 'updating', 'roughly', 'follow', 'mvc', 'conventions', 'current', 'setup', 'html', 'js', 'page', 'allow', 'user', 'drag', 'drop', 'answers', 'questions', 'successful', 'drop', 'answer', 'combo', 'sent', 'serverside', 'php', 'page', 'check', 'answer', 'correctness', 'based', 'xml', 'file', 'return', 'pieces', 'data', 'xml', 'client', 'truefalse', 'number', 'attempts', 'certain', 'addition', 'answer', 'correct', 'increment', 'session', 'variable', 'server', 'track', 'users', 'score', 'revolves', 'best', 'practices', 'setting', 'mentioned', 'session', 'variable', 'tracking', 'score', 'understand', 'persistent', 'setup', 'likely', 'preferable', 'case', 'computer', 'shutoff', 'accidental', 'browser', 'closing', 'etcbut', 'strictly', 'based', 'setup', 'secure', 'method', 'storing', 'score', 'final', 'insertion', 'database', 'eventually', 'pull', 'score', 'server', 'end', 'game', 'mid', 'game', 'matter', 'create', 'simple', 'getter', 'php', 'page', 'pull', 'score', 'access', 'session', 'variable', 'send', 'client', 'user', 'actually', 'access', 'php', 'serverside', 'page', 'becuase', 'resides', 'folder', 'actual', 'quiz', 'moooost', 'likely', 'nono', 'common', 'practice', 'hiding', 'serveronly', 'file', 'users', 'prying', 'eyes', 'use', 'authentication']",yes,"['php server side', 'server side php', 'server side data', 'server answer']"
43,27752928,"['asked', '20', 'times', 'read', 'lot', 'confirmation', 'understood', 'good', 'definitions', 'identification', 'identify', 'client', 'exactly', 'authorization', 'allow', 'access', 'ressources', 'identity', 'authentication', 'combine', 'identification', 'authorization', 'reasoning', 'good', 'second', 'oauth', 'amp', 'openid', 'beginning', 'basic', 'implementation', 'openid', 'identification', 'oauth', 'authorization', 'upgrading', 'tend', 'authentication', 'example', 'oauth', 'basically', 'allow', 'application', 'access', 'password', 'critical', 'informations', 'user', 'network', 'time', 'generate', 'token', 'revoke', 'refresh', 'given', 'request', 'basic', 'implementation', 'oauth', 's1', 'allow', 's2', 'users', 'informations', 'access', 'url', 'path', 's1apiusersfoo', 'path', 's1apiusersbar', 'informations', 'email', 'contacts', 'example', 'user', 'foo', 'url', 'user', 'bar', 'second', 'url', 'authorization', 'identification', 'identification', 'example', 'implement', 'api', 'key', 'openid', 'connect', 'oauth', 'second', 'reasoning', 'good', 'thank', 'advance']",yes,"['api user bar', 'example oauth', 'api user', 'authentication combine identification']"
44,17642224,"['secure', 'spring', 'restful', 'backend', 'way', 'right', 'use', 'oauth', '20', 'shown', 'url', 'architecture', 'resource', 'server', 'authorization', 'server', 'entity', 'provide', 'json', 'rest', 'services', 'ui', 'read', 'oauth2', 'rfc', 'interaction', 'authorization', 'server', 'resource', 'server', 'scope', 'specification', 'authorization', 'server', 'server', 'resource', 'server', 'separate', 'entity', 'single', 'authorization', 'server', 'issue', 'access', 'tokens', 'accepted', 'multiple', 'resource', 'servers', 'found', 'good', 'diagram', 'cloudfoundrycom', 'related', 'youtube', 'video', 'illustrate', 'view', 'token', 'provider', 'couldshould', 'google', 'facebook', 'example', 'restful', 'backend', 'actually', 'code', 'spring', 'restful', 'services', 'sample', 'code', 'validate', 'access', 'tokens', 'generated', 'authserver', 'facebook', 'google', 'token', 'user', 'mapping', 'database', 'resourceserver', 'basically', 'id', 'design', 'restful', 'api', 'paypal', 'url', 'handle', 'steps', '1', 'amp', '2', 'use', 'facebook', 'google', 'auth', 'providers', 'additional', 'thought', 'probably', 'provide', 'oauth2token', 'endpoint', 'delegate', 'underlying', 'authprovider']",yes,"['spring restful resource server', 'multiple resource server', 'code spring restful service', 'single authorization server']"
48,33453269,"['understand', 'authenticate', 'rest', 'client', 'paw', 'android', 'app', 'ios', 'app', 'afnetworking', 'jhipster', 'think', 'general', 'springboot', 'expert', 'able', 'obtain', 'token', 'logged', 'browser', 'subsequently', 'use', 'token', 'requests', 'understand', 'authenticate', 'place', 'restful', 'best', 'practices', 'example', 'pawapp', 'pass', 'basic', 'authentication', 'oauth2', 'dont', 'understand', 'session', 'token', 'simply', 'authenticating', 'web', 'browser', 'similarly', 'afnetworking', 'able', 'pass', 'basic', 'authentication', 'eg', 'struggle', 'understand', 'authenticate', 'session', 'security', 'bundled', 'jhipsterspring', 'boot']",yes,"['jhipster rest client authentication', 'pas basic authentication', 'basic authentication', 'restful best practice']"
49,34218135,"['spring', 'secure', 'rest', 'api', 'deal', 'authentication', 'chosen', 'basic', 'authentication', 'method', 'test', 'method', 'use', 'send', 'header', 'parameter', 'authentication', 'basic', 'loginpassword', 'works', 'method', 'post', 'normal', 'details', 'test', 'uses', 'method', 'works', 'correctly', 'post', 'spring', 'security', 'configurations', 'h2', 'embedded', 'database', 'user', 'details', 'requestmapping', 'class', 'update', 'method', 'class', 'restauthenticationentrypoint', 'receive', 'error', 'expected', '200', 'actual', '403', 'changing', 'method', 'post', 'works', 'correctly', 'status', '200', 'thanks', 'advance']",yes,"['basic authentication method', 'header parameter authentication basic loginpassword', 'post spring security configuration', 'method work']"
51,8703263,"['linkedin', 'developer', 'toolkit', 'accessing', 'linked', 'data', 'network', 'updates', 'profile', 'photo', 'url', 'etc', 'work', 'fine', 'rid', 'authentication', 'page', 'appears', 'time', 'implementation', 'look', 'url', 'assist', 'implementing', 'simulating', 'authentication', 'server', 'thanks', 'vijay']",yes,"['linkedin developer toolkit', 'http wieowie nl', 'linkedindeveloper toolkit', 'authentication']"
53,18351134,"['network', 'device', 'running', 'c', 'local', 'network', 'runs', 'url', 'server', 'provides', 'restlike', 'webservice', 'interface', 'provide', 'api', 'control', 'device', 'authorize', 'user', 'android', 'smartphone', 'network', 'rest', 'api', 'scenario', 'user', 'smartphone', 'enter', 'pin', 'cod', '4digits', 'order', 'access', 'api', 'rest', 'api', 'methods', 'idea', '1', 'pin', 'code', 'send', 'device', 'url', 'post', 'body', 'device', 'checks', 'okay', '2', 'pin', 'right', 'device', 'generate', 'token', 'future', 'request', 'questions', 'generate', 'token', 'algorithm', 'device', 'c', 'token', 'transmitted', 'request', 'query', 'parameter', 'post', 'body', 'header', 'edit', 'read', 'http', 'basic', 'authentication', 'setup', 'kind', 'regards']",yes,"['network device', 'device check', 'http basic authentication', 'pin cod']"
